
"Banco de México"

"Sistemas de pago de bajo valor"
"Número de operaciones tercero a tercero en SPEI"

"Fecha de consulta: 25/07/2026 12:23:09"

""

"Título","Número de operaciones tercero a tercero en SPEI - Mayores a 8 mil y menores a 300 mil"
"Periodo disponible","01/01/2009 - 20/07/2026"
"Periodicidad","Diaria"
"Cifra","Flujos"
"Unidad","Sin Unidad"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF336087"
01/01/2009,N/E
02/01/2009,39578
03/01/2009,N/E
04/01/2009,N/E
05/01/2009,59840
06/01/2009,59492
07/01/2009,53661
08/01/2009,58734
09/01/2009,88947
10/01/2009,N/E
11/01/2009,N/E
12/01/2009,65883
13/01/2009,59686
14/01/2009,72854
15/01/2009,85345
16/01/2009,89246
17/01/2009,N/E
18/01/2009,N/E
19/01/2009,69617
20/01/2009,59907
21/01/2009,56282
22/01/2009,59849
23/01/2009,82707
24/01/2009,N/E
25/01/2009,N/E
26/01/2009,65421
27/01/2009,58668
28/01/2009,62377
29/01/2009,79845
30/01/2009,132275
31/01/2009,N/E
01/02/2009,N/E
02/02/2009,N/E
03/02/2009,60586
04/02/2009,73356
05/02/2009,78311
06/02/2009,93168
07/02/2009,N/E
08/02/2009,N/E
09/02/2009,67795
10/02/2009,75399
11/02/2009,64702
12/02/2009,67204
13/02/2009,120166
14/02/2009,N/E
15/02/2009,N/E
16/02/2009,76779
17/02/2009,62801
18/02/2009,64302
19/02/2009,64477
20/02/2009,89379
21/02/2009,N/E
22/02/2009,N/E
23/02/2009,66555
24/02/2009,60791
25/02/2009,70909
26/02/2009,84503
27/02/2009,143357
28/02/2009,N/E
01/03/2009,N/E
02/03/2009,75429
03/03/2009,64571
04/03/2009,63470
05/03/2009,78628
06/03/2009,96233
07/03/2009,N/E
08/03/2009,N/E
09/03/2009,70467
10/03/2009,70228
11/03/2009,63431
12/03/2009,76484
13/03/2009,127886
14/03/2009,N/E
15/03/2009,N/E
16/03/2009,N/E
17/03/2009,90898
18/03/2009,72041
19/03/2009,73887
20/03/2009,95685
21/03/2009,N/E
22/03/2009,N/E
23/03/2009,70509
24/03/2009,64195
25/03/2009,66246
26/03/2009,69364
27/03/2009,104660
28/03/2009,N/E
29/03/2009,80
30/03/2009,87360
31/03/2009,115971
01/04/2009,63899
02/04/2009,72934
03/04/2009,110900
04/04/2009,N/E
05/04/2009,N/E
06/04/2009,75752
07/04/2009,73520
08/04/2009,97071
09/04/2009,N/E
10/04/2009,N/E
11/04/2009,N/E
12/04/2009,N/E
13/04/2009,75917
14/04/2009,86377
15/04/2009,87379
16/04/2009,71724
17/04/2009,97304
18/04/2009,N/E
19/04/2009,N/E
20/04/2009,72082
21/04/2009,65080
22/04/2009,64814
23/04/2009,68952
24/04/2009,96071
25/04/2009,N/E
26/04/2009,N/E
27/04/2009,71568
28/04/2009,75741
29/04/2009,96081
30/04/2009,148550
01/05/2009,N/E
02/05/2009,N/E
03/05/2009,N/E
04/05/2009,69220
05/05/2009,47932
06/05/2009,71896
07/05/2009,73699
08/05/2009,102979
09/05/2009,N/E
10/05/2009,N/E
11/05/2009,72193
12/05/2009,66129
13/05/2009,67008
14/05/2009,89806
15/05/2009,123637
16/05/2009,N/E
17/05/2009,N/E
18/05/2009,80505
19/05/2009,67437
20/05/2009,67598
21/05/2009,69608
22/05/2009,96322
23/05/2009,N/E
24/05/2009,N/E
25/05/2009,73082
26/05/2009,69687
27/05/2009,69661
28/05/2009,91130
29/05/2009,155247
30/05/2009,N/E
31/05/2009,N/E
01/06/2009,73330
02/06/2009,68857
03/06/2009,69714
04/06/2009,76344
05/06/2009,103989
06/06/2009,N/E
07/06/2009,N/E
08/06/2009,74981
09/06/2009,69811
10/06/2009,71433
11/06/2009,73967
12/06/2009,120333
13/06/2009,N/E
14/06/2009,N/E
15/06/2009,100241
16/06/2009,71144
17/06/2009,68917
18/06/2009,74343
19/06/2009,98269
20/06/2009,N/E
21/06/2009,N/E
22/06/2009,69040
23/06/2009,68478
24/06/2009,67505
25/06/2009,76589
26/06/2009,102452
27/06/2009,N/E
28/06/2009,N/E
29/06/2009,100341
30/06/2009,129601
01/07/2009,73017
02/07/2009,73554
03/07/2009,110818
04/07/2009,N/E
05/07/2009,N/E
06/07/2009,77436
07/07/2009,69286
08/07/2009,68493
09/07/2009,76061
10/07/2009,107445
11/07/2009,N/E
12/07/2009,N/E
13/07/2009,77804
14/07/2009,89416
15/07/2009,95205
16/07/2009,84819
17/07/2009,104949
18/07/2009,N/E
19/07/2009,N/E
20/07/2009,75770
21/07/2009,68592
22/07/2009,65741
23/07/2009,72088
24/07/2009,99620
25/07/2009,N/E
26/07/2009,N/E
27/07/2009,72907
28/07/2009,71409
29/07/2009,79074
30/07/2009,103165
31/07/2009,143470
01/08/2009,N/E
02/08/2009,N/E
03/08/2009,74629
04/08/2009,68229
05/08/2009,77242
06/08/2009,75619
07/08/2009,103103
08/08/2009,N/E
09/08/2009,N/E
10/08/2009,81206
11/08/2009,68704
12/08/2009,66852
13/08/2009,84404
14/08/2009,137976
15/08/2009,N/E
16/08/2009,N/E
17/08/2009,85570
18/08/2009,72320
19/08/2009,66782
20/08/2009,74792
21/08/2009,102193
22/08/2009,N/E
23/08/2009,87
24/08/2009,71409
25/08/2009,74831
26/08/2009,70023
27/08/2009,85650
28/08/2009,131607
29/08/2009,N/E
30/08/2009,N/E
31/08/2009,135094
01/09/2009,71432
02/09/2009,67006
03/09/2009,79941
04/09/2009,107458
05/09/2009,N/E
06/09/2009,N/E
07/09/2009,77656
08/09/2009,71061
09/09/2009,68121
10/09/2009,80991
11/09/2009,114370
12/09/2009,N/E
13/09/2009,N/E
14/09/2009,100922
15/09/2009,101553
16/09/2009,N/E
17/09/2009,90603
18/09/2009,111321
19/09/2009,N/E
20/09/2009,N/E
21/09/2009,78409
22/09/2009,71155
23/09/2009,69477
24/09/2009,74513
25/09/2009,109232
26/09/2009,N/E
27/09/2009,N/E
28/09/2009,86641
29/09/2009,102205
30/09/2009,139844
01/10/2009,76653
02/10/2009,106463
03/10/2009,N/E
04/10/2009,N/E
05/10/2009,82122
06/10/2009,73075
07/10/2009,73895
08/10/2009,79430
